date, pm25, pm10, o3, no2, so2, co
2024/1/23, 76, 48, 22, 16, 3, 7
2024/1/24, 93, 59, 23, 28, 3, 8
2024/1/25, 121, 75, 23, 33, 4, 9
2024/1/26, 156, 87, 18, 35, 4, 10
2024/1/27, 166, 88, 38, 28, 4, 8
2024/1/28, 167, 85, 36, 23, 3, 7
2024/1/29, 167, 37, 21, 19, 2, 4
2024/1/30, 95, 27, 5, 26, 2, 5
2024/1/31, 74, 18, 31, 14, 2, 5
2024/2/1, 53, 28, 25, 9, 2, 5
2024/2/2, 55, 15, 22, 9, 2, 5
2024/2/3, 46, 28, 21, 12, 2, 7
2024/2/4, 72, 35, 27, 8, 2, 7
2024/2/5, 94, 61, 25, 10, 2, 8
2024/2/6, 154, 40, 30, 9, 2, 6
2024/2/7, 100, 61, 43, 9, 3, 8
2024/2/8, 132, 204, 55, 15, 6, 10
2024/2/9, 257, 195, 41, 12, 5, 8
2024/2/10, 252, 84, 43, 10, 3, 6
2024/2/11, 161, 80, 48, 9, 3, 6
2024/2/12, 137, 54, 40, 7, 3, 4
2024/2/13, 97, 56, 40, 9, 3, 4
2024/2/14, 120, 39, 31, 10, 2, 4
2024/2/15, 98, 26, 37, 6, 2, 4
2024/2/16, 55, 26, 38, 9, 3, 4
2024/2/17, 54, 30, 30, 10, 2, 5
2024/2/18, 70, 41, 21, 11, 2, 7
2024/2/19, 96, 17, 24, 9, , 5
2024/2/20, 53, 12, 21, 9, , 6
2024/2/21, 39, 24, 19, 9, 2, 8
2024/2/22, 69, 47, 21, 11, 2, 9
2024/2/23, 118, 45, 23, 11, 2, 10
2024/2/24, 115, 61, 31, 8, 2, 8
2024/2/25, 150, 62, 36, 11, 3, 6
2024/2/26, 137, 55, 33, 11, 3, 4
2024/2/27, 99, 37, 10, 25, 3, 6
2024/2/28, 94, 20, 33, 16, 2, 7
2024/2/29, 65, 37, 33, 7, 3, 4
2024/3/1, 69, 58, 42, 15, 3, 5
2024/3/2, 106, 59, 50, 14, 3, 4
2024/3/3, 129, 32, 39, 16, 2, 3
2024/3/4, 71, 27, 30, 22, 2, 5
2024/3/5, 79, 48, 37, 13, 3, 4
2024/3/6, 109, 50, 39, 15, 3, 4
2024/3/7, 98, 70, 44, 16, 2, 5
2024/3/8, 146, 70, 44, 21, 3, 4
2024/3/9, 153, 43, 46, 15, , 3
